date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
10/22/21,9:00p,San Antonio Spurs,96,Denver Nuggets,102,Ball Arena,Denver Nuggets,,San Antonio Spurs,Denver Nuggets,San Antonio Spurs,Western,Northwest,Western,Southwest,Northwest,Southwest,Western,Western,Fri,9:00:00 PM,21:00:00,N,10/22/21,Denver NuggetsSan Antonio Spurs2021-10-22
10/22/21,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Crypto.com Arena,Phoenix Suns,@,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Fri,10:00:00 PM,22:00:00,N,10/22/21,Los Angeles LakersPhoenix Suns2021-10-22
10/22/21,10:00p,Utah Jazz,110,Sacramento Kings,101,Golden 1 Center,Utah Jazz,@,Sacramento Kings,Sacramento Kings,Utah Jazz,Western,Pacific,Western,Northwest,Pacific,Northwest,Western,Western,Fri,10:00:00 PM,22:00:00,N,10/22/21,Sacramento KingsUtah Jazz2021-10-22
10/23/21,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,Western,Central,Eastern,Southeast,Southeast,Central,Eastern,Western,Sat,6:00:00 PM,18:00:00,N,10/23/21,Atlanta HawksCleveland Cavaliers2021-10-23
10/23/21,7:00p,Miami Heat,91,Indiana Pacers,102,Gainbridge Fieldhouse,Indiana Pacers,,Miami Heat,Indiana Pacers,Miami Heat,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Sat,7:00:00 PM,19:00:00,N,10/23/21,Indiana PacersMiami Heat2021-10-23
10/23/21,7:30p,Dallas Mavericks,103,Toronto Raptors,95,Scotiabank Arena,Dallas Mavericks,@,Toronto Raptors,Dallas Mavericks,Toronto Raptors,Eastern,Atlantic,Eastern,Southwest,Southwest,Atlantic,Western,Eastern,Sat,7:30:00 PM,19:30:00,N,10/23/21,Dallas MavericksToronto Raptors2021-10-23
10/23/21,8:00p,Detroit Pistons,82,Chicago Bulls,97,United Center,Chicago Bulls,,Detroit Pistons,Chicago Bulls,Detroit Pistons,Eastern,Central,Eastern,Central,Central,Central,Eastern,Eastern,Sat,8:00:00 PM,20:00:00,N,10/23/21,Chicago BullsDetroit Pistons2021-10-23
10/23/21,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Target Center,Minnesota Timberwolves,,New Orleans Pelicans,Minnesota Timberwolves,New Orleans Pelicans,Western,Northwest,Western,Southwest,Northwest,Southwest,Western,Western,Sat,8:00:00 PM,20:00:00,N,10/23/21,Minnesota TimberwolvesNew Orleans Pelicans2021-10-23
10/23/21,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,AT&T Center,Milwaukee Bucks,@,San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Western,Southwest,Western,Central,Central,Southwest,Eastern,Western,Sat,8:30:00 PM,20:30:00,N,10/23/21,Milwaukee BucksSan Antonio Spurs2021-10-23
10/23/21,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Moda Center,Portland Trail Blazers,,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Sat,10:00:00 PM,22:00:00,N,10/23/21,Phoenix SunsPortland Trail Blazers2021-10-23
10/23/21,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Crypto.com Arena,Memphis Grizzlies,@,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Sat,10:30:00 PM,22:30:00,N,10/23/21,Los Angeles ClippersMemphis Grizzlies2021-10-23
10/24/21,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Barclays Center,Charlotte Hornets,@,Brooklyn Nets,Brooklyn Nets,Charlotte Hornets,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Sun,4:00:00 PM,16:00:00,D,10/24/21,Brooklyn NetsCharlotte Hornets2021-10-24
10/24/21,7:00p,Boston Celtics,107,Houston Rockets,97,Toyota Center,Boston Celtics,@,Houston Rockets,Boston Celtics,Houston Rockets,Western,Southwest,Western,Atlantic,Atlantic,Southwest,Eastern,Western,Sun,7:00:00 PM,19:00:00,N,10/24/21,Boston CelticsHouston Rockets2021-10-24
10/24/21,7:00p,Orlando Magic,110,New York Knicks,104,Madison Square Garden (IV),Orlando Magic,@,New York Knicks,New York Knicks,Orlando Magic,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Sun,7:00:00 PM,19:00:00,N,10/24/21,New York KnicksOrlando Magic2021-10-24
10/24/21,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Paycom Center,Philadelphia 76ers,@,Oklahoma City Thunder,Oklahoma City Thunder,Philadelphia 76ers,Western,Northwest,Western,Atlantic,Northwest,Atlantic,Western,Eastern,Sun,7:00:00 PM,19:00:00,N,10/24/21,Oklahoma City ThunderPhiladelphia 76ers2021-10-24
10/24/21,9:00p,Golden State Warriors,119,Sacramento Kings,107,Golden 1 Center,Golden State Warriors,@,Sacramento Kings,Golden State Warriors,Sacramento Kings,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Sun,9:00:00 PM,21:00:00,N,10/24/21,Golden State WarriorsSacramento Kings2021-10-24
10/24/21,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Crypto.com Arena,Los Angeles Lakers,,Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Sun,9:30:00 PM,21:30:00,N,10/24/21,Los Angeles LakersMemphis Grizzlies2021-10-24
10/25/21,7:00p,Boston Celtics,140,Charlotte Hornets,129,Spectrum Center,Boston Celtics,@,Charlotte Hornets,Boston Celtics,Charlotte Hornets,Eastern,Southeast,Eastern,Atlantic,Atlantic,Southeast,Eastern,Eastern,Mon,7:00:00 PM,19:00:00,N,10/25/21,Boston CelticsCharlotte Hornets2021-10-25
10/25/21,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Gainbridge Fieldhouse,Milwaukee Bucks,@,Indiana Pacers,Indiana Pacers,Milwaukee Bucks,Eastern,Central,Eastern,Central,Central,Central,Eastern,Eastern,Mon,7:00:00 PM,19:00:00,N,10/25/21,Indiana PacersMilwaukee Bucks2021-10-25
10/25/21,7:30p,Chicago Bulls,111,Toronto Raptors,108,Scotiabank Arena,Chicago Bulls,@,Toronto Raptors,Chicago Bulls,Toronto Raptors,Eastern,Atlantic,Eastern,Central,Central,Atlantic,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,10/25/21,Chicago BullsToronto Raptors2021-10-25
10/25/21,7:30p,Orlando Magic,90,Miami Heat,107,FTX Arena,Miami Heat,,Orlando Magic,Miami Heat,Orlando Magic,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,10/25/21,Miami HeatOrlando Magic2021-10-25
10/25/21,7:30p,Washington Wizards,90,Brooklyn Nets,104,Barclays Center,Brooklyn Nets,,Washington Wizards,Brooklyn Nets,Washington Wizards,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,10/25/21,Brooklyn NetsWashington Wizards2021-10-25
10/25/21,7:30p,Detroit Pistons,104,Atlanta Hawks,122,State Farm Arena,Atlanta Hawks,,Detroit Pistons,Atlanta Hawks,Detroit Pistons,Eastern,Southeast,Eastern,Central,Southeast,Central,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,10/25/21,Atlanta HawksDetroit Pistons2021-10-25
10/25/21,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Target Center,New Orleans Pelicans,@,Minnesota Timberwolves,Minnesota Timberwolves,New Orleans Pelicans,Western,Northwest,Western,Southwest,Northwest,Southwest,Western,Western,Mon,8:00:00 PM,20:00:00,N,10/25/21,Minnesota TimberwolvesNew Orleans Pelicans2021-10-25
10/25/21,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Ball Arena,Cleveland Cavaliers,@,Denver Nuggets,Cleveland Cavaliers,Denver Nuggets,Western,Northwest,Western,Central,Central,Northwest,Western,Western,Mon,9:00:00 PM,21:00:00,N,10/25/21,Cleveland CavaliersDenver Nuggets2021-10-25
10/25/21,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Crypto.com Arena,Los Angeles Clippers,,Portland Trail Blazers,Los Angeles Clippers,Portland Trail Blazers,Western,Pacific,Western,Northwest,Pacific,Northwest,Western,Western,Mon,10:30:00 PM,22:30:00,N,10/25/21,Los Angeles ClippersPortland Trail Blazers2021-10-25
