date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
7/1/21,8:30p,Atlanta Hawks,112,Milwaukee Bucks,123,Fiserv Forum,Milwaukee Bucks,,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,Eastern,Central,Eastern,Southeast,Southeast,Central,Eastern,Eastern,Thu,8:30:00 PM,20:30:00,N,7/1/21,Atlanta HawksMilwaukee Bucks2021-07-01
7/3/21,8:30p,Milwaukee Bucks,118,Atlanta Hawks,107,State Farm Arena,Milwaukee Bucks,@,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,Eastern,Southeast,Eastern,Central,Southeast,Central,Eastern,Eastern,Sat,8:30:00 PM,20:30:00,N,7/3/21,Atlanta HawksMilwaukee Bucks2021-07-03
7/6/21,9:00p,Milwaukee Bucks,105,Phoenix Suns,118,Phoenix Suns Arena,Phoenix Suns,,Milwaukee Bucks,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Tue,9:00:00 PM,21:00:00,N,7/6/21,Milwaukee BucksPhoenix Suns2021-07-06
7/8/21,9:00p,Milwaukee Bucks,108,Phoenix Suns,118,Phoenix Suns Arena,Phoenix Suns,,Milwaukee Bucks,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Thu,9:00:00 PM,21:00:00,N,7/8/21,Milwaukee BucksPhoenix Suns2021-07-08
7/11/21,8:00p,Phoenix Suns,100,Milwaukee Bucks,120,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Sun,8:00:00 PM,20:00:00,N,7/11/21,Milwaukee BucksPhoenix Suns2021-07-11
7/14/21,9:00p,Phoenix Suns,103,Milwaukee Bucks,109,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Wed,9:00:00 PM,21:00:00,N,7/14/21,Milwaukee BucksPhoenix Suns2021-07-14
7/17/21,9:00p,Milwaukee Bucks,123,Phoenix Suns,119,Phoenix Suns Arena,Milwaukee Bucks,@,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Western,Central,Central,Pacific,Eastern,Western,Sat,9:00:00 PM,21:00:00,N,7/17/21,Milwaukee BucksPhoenix Suns2021-07-17
7/20/21,9:00p,Phoenix Suns,98,Milwaukee Bucks,105,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Tue,9:00:00 PM,21:00:00,N,7/20/21,Milwaukee BucksPhoenix Suns2021-07-20
12/1/22,7:00p,Dallas Mavericks,125,Detroit Pistons,131,Little Caesars Arena,Detroit Pistons,,Dallas Mavericks,Dallas Mavericks,Detroit Pistons,Eastern,Central,Western,Southwest,Southwest,Central,Western,Eastern,Thu,7:00:00 PM,19:00:00,N,12/1/22,Dallas MavericksDetroit Pistons2022-12-01
12/2/22,7:00p,Washington Wizards,116,Charlotte Hornets,117,Spectrum Center,Charlotte Hornets,,Washington Wizards,Charlotte Hornets,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,12/2/22,Charlotte HornetsWashington Wizards2022-12-02
12/2/22,7:30p,Denver Nuggets,109,Atlanta Hawks,117,State Farm Arena,Atlanta Hawks,,Denver Nuggets,Atlanta Hawks,Denver Nuggets,Eastern,Southeast,Western,Northwest,Southeast,Northwest,Eastern,Western,Fri,7:30:00 PM,19:30:00,N,12/2/22,Atlanta HawksDenver Nuggets2022-12-02
12/2/22,7:30p,Miami Heat,120,Boston Celtics,116,TD Garden,Miami Heat,@,Boston Celtics,Boston Celtics,Miami Heat,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Fri,7:30:00 PM,19:30:00,N,12/2/22,Boston CelticsMiami Heat2022-12-02
12/2/22,7:30p,Toronto Raptors,105,Brooklyn Nets,114,Barclays Center,Brooklyn Nets,,Toronto Raptors,Brooklyn Nets,Toronto Raptors,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Fri,7:30:00 PM,19:30:00,N,12/2/22,Brooklyn NetsToronto Raptors2022-12-02
12/2/22,7:30p,Orlando Magic,96,Cleveland Cavaliers,107,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Orlando Magic,Cleveland Cavaliers,Orlando Magic,Western,Central,Eastern,Southeast,Central,Southeast,Western,Eastern,Fri,7:30:00 PM,19:30:00,N,12/2/22,Cleveland CavaliersOrlando Magic2022-12-02
12/2/22,7:30p,Los Angeles Lakers,133,Milwaukee Bucks,129,Fiserv Forum,Los Angeles Lakers,@,Milwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks,Eastern,Central,Eastern,Pacific,Pacific,Central,Western,Eastern,Fri,7:30:00 PM,19:30:00,N,12/2/22,Los Angeles LakersMilwaukee Bucks2022-12-02
12/2/22,8:00p,Philadelphia 76ers,109,Memphis Grizzlies,117,FedEx Forum,Memphis Grizzlies,,Philadelphia 76ers,Memphis Grizzlies,Philadelphia 76ers,Western,Southwest,Eastern,Atlantic,Southwest,Atlantic,Western,Eastern,Fri,8:00:00 PM,20:00:00,N,12/2/22,Memphis GrizzliesPhiladelphia 76ers2022-12-02
12/2/22,8:00p,New Orleans Pelicans,117,San Antonio Spurs,99,AT&T Center,New Orleans Pelicans,@,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Fri,8:00:00 PM,20:00:00,N,12/2/22,New Orleans PelicansSan Antonio Spurs2022-12-02
12/2/22,9:00p,Houston Rockets,122,Phoenix Suns,121,Footprint Center,Houston Rockets,@,Phoenix Suns,Houston Rockets,Phoenix Suns,Western,Pacific,Western,Southwest,Southwest,Pacific,Western,Western,Fri,9:00:00 PM,21:00:00,N,12/2/22,Houston RocketsPhoenix Suns2022-12-02
12/2/22,9:00p,Indiana Pacers,119,Utah Jazz,139,Vivint Arena,Utah Jazz,,Indiana Pacers,Indiana Pacers,Utah Jazz,Western,Northwest,Eastern,Central,Central,Northwest,Eastern,Western,Fri,9:00:00 PM,21:00:00,N,12/2/22,Indiana PacersUtah Jazz2022-12-02
12/2/22,10:00p,Chicago Bulls,111,Golden State Warriors,119,Chase Center,Golden State Warriors,,Chicago Bulls,Chicago Bulls,Golden State Warriors,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Fri,10:00:00 PM,22:00:00,N,12/2/22,Chicago BullsGolden State Warriors2022-12-02
12/3/22,12:30p,Dallas Mavericks,121,New York Knicks,100,Madison Square Garden (IV),Dallas Mavericks,@,New York Knicks,Dallas Mavericks,New York Knicks,Eastern,Atlantic,Eastern,Southwest,Southwest,Atlantic,Western,Eastern,Sat,12:30:00 PM,12:30:00,D,12/3/22,Dallas MavericksNew York Knicks2022-12-03
12/3/22,4:00p,Sacramento Kings,123,Los Angeles Clippers,96,Crypto.com Arena,Sacramento Kings,@,Los Angeles Clippers,Los Angeles Clippers,Sacramento Kings,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Sat,4:00:00 PM,16:00:00,D,12/3/22,Los Angeles ClippersSacramento Kings2022-12-03
12/3/22,6:00p,Milwaukee Bucks,105,Charlotte Hornets,96,Spectrum Center,Milwaukee Bucks,@,Charlotte Hornets,Charlotte Hornets,Milwaukee Bucks,Eastern,Southeast,Eastern,Central,Southeast,Central,Eastern,Eastern,Sat,6:00:00 PM,18:00:00,N,12/3/22,Charlotte HornetsMilwaukee Bucks2022-12-03
12/3/22,8:00p,Oklahoma City Thunder,135,Minnesota Timberwolves,128,Target Center,Oklahoma City Thunder,@,Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Sat,8:00:00 PM,20:00:00,N,12/3/22,Minnesota TimberwolvesOklahoma City Thunder2022-12-03
12/3/22,8:00p,Orlando Magic,108,Toronto Raptors,121,Scotiabank Arena,Toronto Raptors,,Orlando Magic,Orlando Magic,Toronto Raptors,Eastern,Atlantic,Eastern,Southeast,Southeast,Atlantic,Eastern,Eastern,Sat,8:00:00 PM,20:00:00,N,12/3/22,Orlando MagicToronto Raptors2022-12-03
12/3/22,8:30p,Houston Rockets,101,Golden State Warriors,120,Chase Center,Golden State Warriors,,Houston Rockets,Golden State Warriors,Houston Rockets,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Sat,8:30:00 PM,20:30:00,N,12/3/22,Golden State WarriorsHouston Rockets2022-12-03
12/3/22,9:00p,Portland Trail Blazers,116,Utah Jazz,111,Vivint Arena,Portland Trail Blazers,@,Utah Jazz,Portland Trail Blazers,Utah Jazz,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Sat,9:00:00 PM,21:00:00,N,12/3/22,Portland Trail BlazersUtah Jazz2022-12-03
12/4/22,3:30p,Denver Nuggets,106,New Orleans Pelicans,121,Smoothie King Center,New Orleans Pelicans,,Denver Nuggets,Denver Nuggets,New Orleans Pelicans,Western,Southwest,Western,Northwest,Northwest,Southwest,Western,Western,Sun,3:30:00 PM,15:30:00,D,12/4/22,Denver NuggetsNew Orleans Pelicans2022-12-04
12/4/22,4:00p,Phoenix Suns,133,San Antonio Spurs,95,AT&T Center,Phoenix Suns,@,San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Sun,4:00:00 PM,16:00:00,D,12/4/22,Phoenix SunsSan Antonio Spurs2022-12-04
12/4/22,6:00p,Boston Celtics,103,Brooklyn Nets,92,Barclays Center,Boston Celtics,@,Brooklyn Nets,Boston Celtics,Brooklyn Nets,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Sun,6:00:00 PM,18:00:00,N,12/4/22,Boston CelticsBrooklyn Nets2022-12-04
12/4/22,6:00p,Memphis Grizzlies,122,Detroit Pistons,112,Little Caesars Arena,Memphis Grizzlies,@,Detroit Pistons,Detroit Pistons,Memphis Grizzlies,Eastern,Central,Eastern,Southwest,Central,Southwest,Eastern,Western,Sun,6:00:00 PM,18:00:00,N,12/4/22,Detroit PistonsMemphis Grizzlies2022-12-04
12/4/22,6:00p,Cleveland Cavaliers,81,New York Knicks,92,Madison Square Garden (IV),New York Knicks,,Cleveland Cavaliers,Cleveland Cavaliers,New York Knicks,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,Sun,6:00:00 PM,18:00:00,N,12/4/22,Cleveland CavaliersNew York Knicks2022-12-04
12/4/22,6:00p,Chicago Bulls,101,Sacramento Kings,110,Golden 1 Center,Sacramento Kings,,Chicago Bulls,Chicago Bulls,Sacramento Kings,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Sun,6:00:00 PM,18:00:00,N,12/4/22,Chicago BullsSacramento Kings2022-12-04
12/4/22,6:00p,Los Angeles Lakers,130,Washington Wizards,119,Capital One Arena,Los Angeles Lakers,@,Washington Wizards,Los Angeles Lakers,Washington Wizards,Eastern,Southeast,Eastern,Pacific,Pacific,Southeast,Western,Eastern,Sun,6:00:00 PM,18:00:00,N,12/4/22,Los Angeles LakersWashington Wizards2022-12-04
12/4/22,9:00p,Indiana Pacers,100,Portland Trail Blazers,116,Moda Center,Portland Trail Blazers,,Indiana Pacers,Indiana Pacers,Portland Trail Blazers,Western,Northwest,Eastern,Central,Central,Northwest,Eastern,Western,Sun,9:00:00 PM,21:00:00,N,12/4/22,Indiana PacersPortland Trail Blazers2022-12-04
12/5/22,7:00p,Los Angeles Clippers,119,Charlotte Hornets,117,Spectrum Center,Los Angeles Clippers,@,Charlotte Hornets,Charlotte Hornets,Los Angeles Clippers,Eastern,Southeast,Eastern,Pacific,Southeast,Pacific,Eastern,Western,Mon,7:00:00 PM,19:00:00,N,12/5/22,Charlotte HornetsLos Angeles Clippers2022-12-05
12/5/22,7:00p,Milwaukee Bucks,109,Orlando Magic,102,Amway Center,Milwaukee Bucks,@,Orlando Magic,Milwaukee Bucks,Orlando Magic,Eastern,Southeast,Eastern,Central,Central,Southeast,Eastern,Eastern,Mon,7:00:00 PM,19:00:00,N,12/5/22,Milwaukee BucksOrlando Magic2022-12-05
12/5/22,7:30p,Oklahoma City Thunder,121,Atlanta Hawks,114,State Farm Arena,Oklahoma City Thunder,@,Atlanta Hawks,Atlanta Hawks,Oklahoma City Thunder,Eastern,Southeast,Eastern,Northwest,Southeast,Northwest,Eastern,Western,Mon,7:30:00 PM,19:30:00,N,12/5/22,Atlanta HawksOklahoma City Thunder2022-12-05
12/5/22,7:30p,Boston Celtics,116,Toronto Raptors,110,Scotiabank Arena,Boston Celtics,@,Toronto Raptors,Boston Celtics,Toronto Raptors,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,12/5/22,Boston CelticsToronto Raptors2022-12-05
12/5/22,8:00p,Philadelphia 76ers,123,Houston Rockets,132,Toyota Center,Houston Rockets,,Philadelphia 76ers,Houston Rockets,Philadelphia 76ers,Western,Southwest,Eastern,Atlantic,Southwest,Atlantic,Western,Eastern,Mon,8:00:00 PM,20:00:00,N,12/5/22,Houston RocketsPhiladelphia 76ers2022-12-05
12/5/22,8:00p,Miami Heat,93,Memphis Grizzlies,101,FedEx Forum,Memphis Grizzlies,,Miami Heat,Memphis Grizzlies,Miami Heat,Western,Southwest,Eastern,Southeast,Southwest,Southeast,Western,Eastern,Mon,8:00:00 PM,20:00:00,N,12/5/22,Memphis GrizzliesMiami Heat2022-12-05
12/5/22,8:30p,Phoenix Suns,111,Dallas Mavericks,130,American Airlines Center,Dallas Mavericks,,Phoenix Suns,Dallas Mavericks,Phoenix Suns,Western,Southwest,Western,Pacific,Southwest,Pacific,Western,Western,Mon,8:30:00 PM,20:30:00,N,12/5/22,Dallas MavericksPhoenix Suns2022-12-05
12/5/22,10:00p,Indiana Pacers,112,Golden State Warriors,104,Chase Center,Indiana Pacers,@,Golden State Warriors,Golden State Warriors,Indiana Pacers,Western,Pacific,Western,Central,Pacific,Central,Western,Eastern,Mon,10:00:00 PM,22:00:00,N,12/5/22,Golden State WarriorsIndiana Pacers2022-12-05
12/6/22,7:30p,Los Angeles Lakers,102,Cleveland Cavaliers,116,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Los Angeles Lakers,Cleveland Cavaliers,Los Angeles Lakers,Western,Central,Western,Pacific,Central,Pacific,Western,Western,Tue,7:30:00 PM,19:30:00,N,12/6/22,Cleveland CavaliersLos Angeles Lakers2022-12-06
12/6/22,7:30p,Detroit Pistons,116,Miami Heat,96,Kaseya Center,Detroit Pistons,@,Miami Heat,Detroit Pistons,Miami Heat,Eastern,Southeast,Eastern,Central,Central,Southeast,Eastern,Eastern,Tue,7:30:00 PM,19:30:00,N,12/6/22,Detroit PistonsMiami Heat2022-12-06
12/6/22,10:00p,Dallas Mavericks,116,Denver Nuggets,115,Ball Arena,Dallas Mavericks,@,Denver Nuggets,Dallas Mavericks,Denver Nuggets,Western,Northwest,Western,Southwest,Southwest,Northwest,Western,Western,Tue,10:00:00 PM,22:00:00,N,12/6/22,Dallas MavericksDenver Nuggets2022-12-06
12/7/22,7:00p,Los Angeles Clippers,111,Orlando Magic,116,Amway Center,Orlando Magic,,Los Angeles Clippers,Los Angeles Clippers,Orlando Magic,Eastern,Southeast,Western,Pacific,Pacific,Southeast,Western,Eastern,Wed,7:00:00 PM,19:00:00,N,12/7/22,Los Angeles ClippersOrlando Magic2022-12-07
12/7/22,7:30p,Charlotte Hornets,116,Brooklyn Nets,122,Barclays Center,Brooklyn Nets,,Charlotte Hornets,Brooklyn Nets,Charlotte Hornets,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,12/7/22,Brooklyn NetsCharlotte Hornets2022-12-07
12/7/22,7:30p,Atlanta Hawks,89,New York Knicks,113,Madison Square Garden (IV),New York Knicks,,Atlanta Hawks,Atlanta Hawks,New York Knicks,Eastern,Atlantic,Eastern,Southeast,Southeast,Atlantic,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,12/7/22,Atlanta HawksNew York Knicks2022-12-07
12/7/22,7:30p,Los Angeles Lakers,113,Toronto Raptors,126,Scotiabank Arena,Toronto Raptors,,Los Angeles Lakers,Los Angeles Lakers,Toronto Raptors,Eastern,Atlantic,Western,Pacific,Pacific,Atlantic,Western,Eastern,Wed,7:30:00 PM,19:30:00,N,12/7/22,Los Angeles LakersToronto Raptors2022-12-07
12/7/22,8:00p,Washington Wizards,111,Chicago Bulls,115,United Center,Chicago Bulls,,Washington Wizards,Chicago Bulls,Washington Wizards,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Wed,8:00:00 PM,20:00:00,N,12/7/22,Chicago BullsWashington Wizards2022-12-07
12/7/22,8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,123,FedEx Forum,Memphis Grizzlies,,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Wed,8:00:00 PM,20:00:00,N,12/7/22,Memphis GrizzliesOklahoma City Thunder2022-12-07
12/7/22,8:00p,Sacramento Kings,113,Milwaukee Bucks,126,Fiserv Forum,Milwaukee Bucks,,Sacramento Kings,Milwaukee Bucks,Sacramento Kings,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Wed,8:00:00 PM,20:00:00,N,12/7/22,Milwaukee BucksSacramento Kings2022-12-07
12/7/22,8:00p,Indiana Pacers,115,Minnesota Timberwolves,121,Target Center,Minnesota Timberwolves,,Indiana Pacers,Indiana Pacers,Minnesota Timberwolves,Western,Northwest,Eastern,Central,Central,Northwest,Eastern,Western,Wed,8:00:00 PM,20:00:00,N,12/7/22,Indiana PacersMinnesota Timberwolves2022-12-07
12/7/22,8:00p,Detroit Pistons,98,New Orleans Pelicans,104,Smoothie King Center,New Orleans Pelicans,,Detroit Pistons,Detroit Pistons,New Orleans Pelicans,Western,Southwest,Eastern,Central,Central,Southwest,Eastern,Western,Wed,8:00:00 PM,20:00:00,N,12/7/22,Detroit PistonsNew Orleans Pelicans2022-12-07
12/7/22,9:00p,Golden State Warriors,123,Utah Jazz,124,Vivint Arena,Utah Jazz,,Golden State Warriors,Golden State Warriors,Utah Jazz,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Wed,9:00:00 PM,21:00:00,N,12/7/22,Golden State WarriorsUtah Jazz2022-12-07
12/7/22,10:00p,Boston Celtics,125,Phoenix Suns,98,Footprint Center,Boston Celtics,@,Phoenix Suns,Boston Celtics,Phoenix Suns,Western,Pacific,Western,Atlantic,Atlantic,Pacific,Eastern,Western,Wed,10:00:00 PM,22:00:00,N,12/7/22,Boston CelticsPhoenix Suns2022-12-07
12/8/22,7:30p,Los Angeles Clippers,110,Miami Heat,115,Kaseya Center,Miami Heat,,Los Angeles Clippers,Los Angeles Clippers,Miami Heat,Eastern,Southeast,Western,Pacific,Pacific,Southeast,Western,Eastern,Thu,7:30:00 PM,19:30:00,N,12/8/22,Los Angeles ClippersMiami Heat2022-12-08
12/8/22,8:30p,Houston Rockets,109,San Antonio Spurs,118,AT&T Center,San Antonio Spurs,,Houston Rockets,Houston Rockets,San Antonio Spurs,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Thu,8:30:00 PM,20:30:00,N,12/8/22,Houston RocketsSan Antonio Spurs2022-12-08
12/8/22,10:00p,Denver Nuggets,121,Portland Trail Blazers,120,Moda Center,Denver Nuggets,@,Portland Trail Blazers,Denver Nuggets,Portland Trail Blazers,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Thu,10:00:00 PM,22:00:00,N,12/8/22,Denver NuggetsPortland Trail Blazers2022-12-08
12/9/22,7:00p,New York Knicks,121,Charlotte Hornets,102,Spectrum Center,New York Knicks,@,Charlotte Hornets,Charlotte Hornets,New York Knicks,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,12/9/22,Charlotte HornetsNew York Knicks2022-12-09
12/9/22,7:00p,Washington Wizards,111,Indiana Pacers,121,Gainbridge Fieldhouse,Indiana Pacers,,Washington Wizards,Indiana Pacers,Washington Wizards,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,12/9/22,Indiana PacersWashington Wizards2022-12-09
12/9/22,7:00p,Toronto Raptors,109,Orlando Magic,113,Amway Center,Orlando Magic,,Toronto Raptors,Orlando Magic,Toronto Raptors,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,12/9/22,Orlando MagicToronto Raptors2022-12-09
12/9/22,7:30p,Atlanta Hawks,116,Brooklyn Nets,120,Barclays Center,Brooklyn Nets,,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,Eastern,Atlantic,Eastern,Southeast,Southeast,Atlantic,Eastern,Eastern,Fri,7:30:00 PM,19:30:00,N,12/9/22,Atlanta HawksBrooklyn Nets2022-12-09
12/9/22,7:30p,Sacramento Kings,106,Cleveland Cavaliers,95,Rocket Mortgage Fieldhouse,Sacramento Kings,@,Cleveland Cavaliers,Cleveland Cavaliers,Sacramento Kings,Western,Central,Western,Pacific,Central,Pacific,Western,Western,Fri,7:30:00 PM,19:30:00,N,12/9/22,Cleveland CavaliersSacramento Kings2022-12-09
12/9/22,7:30p,Los Angeles Lakers,122,Philadelphia 76ers,133,Wells Fargo Center,Philadelphia 76ers,,Los Angeles Lakers,Los Angeles Lakers,Philadelphia 76ers,Eastern,Atlantic,Western,Pacific,Pacific,Atlantic,Western,Eastern,Fri,7:30:00 PM,19:30:00,N,12/9/22,Los Angeles LakersPhiladelphia 76ers2022-12-09
12/9/22,8:00p,Detroit Pistons,103,Memphis Grizzlies,114,FedEx Forum,Memphis Grizzlies,,Detroit Pistons,Detroit Pistons,Memphis Grizzlies,Western,Southwest,Eastern,Central,Central,Southwest,Eastern,Western,Fri,8:00:00 PM,20:00:00,N,12/9/22,Detroit PistonsMemphis Grizzlies2022-12-09
12/9/22,8:30p,Phoenix Suns,117,New Orleans Pelicans,128,Smoothie King Center,New Orleans Pelicans,,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Western,Southwest,Western,Pacific,Southwest,Pacific,Western,Western,Fri,8:30:00 PM,20:30:00,N,12/9/22,New Orleans PelicansPhoenix Suns2022-12-09
12/9/22,9:00p,Minnesota Timberwolves,118,Utah Jazz,108,Vivint Arena,Minnesota Timberwolves,@,Utah Jazz,Minnesota Timberwolves,Utah Jazz,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Fri,9:00:00 PM,21:00:00,N,12/9/22,Minnesota TimberwolvesUtah Jazz2022-12-09
12/9/22,10:00p,Milwaukee Bucks,106,Dallas Mavericks,105,American Airlines Center,Milwaukee Bucks,@,Dallas Mavericks,Dallas Mavericks,Milwaukee Bucks,Western,Southwest,Western,Central,Southwest,Central,Western,Eastern,Fri,10:00:00 PM,22:00:00,N,12/9/22,Dallas MavericksMilwaukee Bucks2022-12-09
12/10/22,5:00p,San Antonio Spurs,115,Miami Heat,111,Kaseya Center,San Antonio Spurs,@,Miami Heat,Miami Heat,San Antonio Spurs,Eastern,Southeast,Eastern,Southwest,Southeast,Southwest,Eastern,Western,Sat,5:00:00 PM,17:00:00,D,12/10/22,Miami HeatSan Antonio Spurs2022-12-10
12/10/22,7:00p,Brooklyn Nets,136,Indiana Pacers,133,Gainbridge Fieldhouse,Brooklyn Nets,@,Indiana Pacers,Brooklyn Nets,Indiana Pacers,Eastern,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Eastern,Sat,7:00:00 PM,19:00:00,N,12/10/22,Brooklyn NetsIndiana Pacers2022-12-10
12/10/22,7:00p,Los Angeles Clippers,114,Washington Wizards,107,Capital One Arena,Los Angeles Clippers,@,Washington Wizards,Los Angeles Clippers,Washington Wizards,Eastern,Southeast,Eastern,Pacific,Pacific,Southeast,Western,Eastern,Sat,7:00:00 PM,19:00:00,N,12/10/22,Los Angeles ClippersWashington Wizards2022-12-10
12/10/22,7:30p,Oklahoma City Thunder,102,Cleveland Cavaliers,110,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Oklahoma City Thunder,Cleveland Cavaliers,Oklahoma City Thunder,Western,Central,Western,Northwest,Central,Northwest,Western,Western,Sat,7:30:00 PM,19:30:00,N,12/10/22,Cleveland CavaliersOklahoma City Thunder2022-12-10
12/10/22,8:00p,Dallas Mavericks,115,Chicago Bulls,144,United Center,Chicago Bulls,,Dallas Mavericks,Chicago Bulls,Dallas Mavericks,Eastern,Central,Western,Southwest,Central,Southwest,Eastern,Western,Sat,8:00:00 PM,20:00:00,N,12/10/22,Chicago BullsDallas Mavericks2022-12-10
12/10/22,8:30p,Boston Celtics,107,Golden State Warriors,123,Chase Center,Golden State Warriors,,Boston Celtics,Boston Celtics,Golden State Warriors,Western,Pacific,Eastern,Atlantic,Atlantic,Pacific,Eastern,Western,Sat,8:30:00 PM,20:30:00,N,12/10/22,Boston CelticsGolden State Warriors2022-12-10
12/10/22,9:00p,Utah Jazz,110,Denver Nuggets,115,Ball Arena,Denver Nuggets,,Utah Jazz,Denver Nuggets,Utah Jazz,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Sat,9:00:00 PM,21:00:00,N,12/10/22,Denver NuggetsUtah Jazz2022-12-10
12/10/22,10:00p,Minnesota Timberwolves,118,Portland Trail Blazers,124,Moda Center,Portland Trail Blazers,,Minnesota Timberwolves,Minnesota Timberwolves,Portland Trail Blazers,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Sat,10:00:00 PM,22:00:00,N,12/10/22,Minnesota TimberwolvesPortland Trail Blazers2022-12-10
12/11/22,3:30p,Phoenix Suns,124,New Orleans Pelicans,129,Smoothie King Center,New Orleans Pelicans,,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Western,Southwest,Western,Pacific,Southwest,Pacific,Western,Western,Sun,3:30:00 PM,15:30:00,D,12/11/22,New Orleans PelicansPhoenix Suns2022-12-11
12/11/22,6:00p,Los Angeles Lakers,124,Detroit Pistons,117,Little Caesars Arena,Los Angeles Lakers,@,Detroit Pistons,Detroit Pistons,Los Angeles Lakers,Eastern,Central,Eastern,Pacific,Central,Pacific,Eastern,Western,Sun,6:00:00 PM,18:00:00,N,12/11/22,Detroit PistonsLos Angeles Lakers2022-12-11
12/11/22,6:00p,Sacramento Kings,99,New York Knicks,112,Madison Square Garden (IV),New York Knicks,,Sacramento Kings,New York Knicks,Sacramento Kings,Eastern,Atlantic,Western,Pacific,Atlantic,Pacific,Eastern,Western,Sun,6:00:00 PM,18:00:00,N,12/11/22,New York KnicksSacramento Kings2022-12-11
12/11/22,6:00p,Toronto Raptors,99,Orlando Magic,111,Amway Center,Orlando Magic,,Toronto Raptors,Orlando Magic,Toronto Raptors,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Sun,6:00:00 PM,18:00:00,N,12/11/22,Orlando MagicToronto Raptors2022-12-11
