,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betsson_1_odds,betus_1_odds,betvictor_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,intertops_1_odds,ladbrokes_1_odds,livescorebet_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,team_1,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,virginbet_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,team_1_division,team_1_conference,hour_of_start,day_of_week,home_away_neutral,home_team_division,away_team_division,team_1_division,team_2_division,home_team_conference,away_team_conference,day_night,minutes_since_commence,target,opponent,this_team_division,opponent_team_division,this_team_conference,opponent_team_conference,home_away,average_market_odds_old,highest_bettable_odds,average_market_odds
13,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,0.0,0.0,0.0,1.13,0.0,1.13,0.0,0.0,1.15,0.0,0.0,1.12,0.0,1.11,1.12,0.0,0.0,Denver Nuggets,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,Northwest,Western,21,Sun,,Northwest,Southwest,Northwest,Southwest,Western,Western,N,-1541.4833333333333,1,San Antonio Spurs,Northwest,Southwest,Western,Western,1,1.129,1.14,1.129
14,1.62,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milwaukee Bucks,0.0,0.0,1.56,1.56,1.56,1.57,0.0,0.0,0.0,Central,Eastern,13,Mon,,Atlantic,Central,Central,Atlantic,Eastern,Eastern,D,-42821.48333333333,0,New York Knicks,Central,Atlantic,Eastern,Eastern,0,1.5737500000000002,1.62,1.5737500000000002
15,1.49,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,1.5,0.0,1.49,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Denver Nuggets,0.0,0.0,1.49,1.49,1.49,1.44,0.0,0.0,0.0,Northwest,Western,15,Mon,,Northwest,Pacific,Northwest,Pacific,Western,Western,D,-42971.48333333333,1,Golden State Warriors,Northwest,Pacific,Western,Western,1,1.4844444444444447,1.49,1.4844444444444445
16,1.8,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,1.75,1.83,0.0,1.81,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boston Celtics,0.0,0.0,1.81,1.81,1.81,1.77,0.0,0.0,0.0,Atlantic,Eastern,18,Mon,,Pacific,Atlantic,Atlantic,Pacific,Western,Eastern,D,-43121.48333333333,0,Los Angeles Lakers,Atlantic,Pacific,Eastern,Western,0,1.8000000000000003,1.81,1.8
17,1.8,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,1.75,1.83,0.0,1.78,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miami Heat,0.0,0.0,1.78,1.78,1.78,1.77,0.0,0.0,0.0,Southeast,Eastern,21,Mon,,Southeast,Atlantic,Southeast,Atlantic,Eastern,Eastern,N,-43301.48333333333,1,Philadelphia 76ers,Southeast,Atlantic,Eastern,Eastern,1,1.7850000000000001,1.8,1.7849999999999997
18,2.7,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.55,2.7,0.0,2.6,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,Dallas Mavericks,0.0,0.0,2.6,2.6,2.6,2.62,0.0,0.0,0.0,Southwest,Western,23,Mon,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-43451.48333333333,0,Phoenix Suns,Southwest,Pacific,Western,Western,0,2.633636363636364,2.7,2.6336363636363633
21,3.7,0.0,0.0,0.0,3.75,3.8,3.55,0.0,3.8,3.8,3.75,3.75,3.55,0.0,3.7,3.7,3.7,0.0,0.0,0.0,0.0,3.75,3.8,3.92,4.1,0.0,3.6,3.75,0.0,3.5,3.77,3.6,3.55,0.0,3.75,Washington Wizards,3.55,0.0,3.6,3.55,3.55,3.8,3.7,3.7,3.8,Southeast,Eastern,20,Sat,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-51.483333333333334,1,Atlanta Hawks,Southeast,Southeast,Eastern,Eastern,1,3.706333333333333,3.8,3.7063333333333333
22,2.7,0.0,0.0,0.0,2.7,2.7,2.7,0.0,2.65,2.65,2.75,2.65,2.7,0.0,2.62,2.7,2.72,0.0,0.0,0.0,0.0,2.7,2.7,2.77,2.9,0.0,2.75,2.75,0.0,2.62,2.73,2.65,2.7,0.0,2.75,Los Angeles Lakers,2.7,0.0,2.75,2.7,2.7,2.75,2.7,2.75,2.8,Pacific,Western,20,Sat,,Central,Pacific,Central,Pacific,Western,Western,N,-71.48333333333333,0,Cleveland Cavaliers,Pacific,Central,Western,Western,0,2.713666666666667,2.75,2.7136666666666667
23,2.14,0.0,0.0,0.0,2.15,2.19,2.1,0.0,2.25,2.1,2.15,2.2,2.1,0.0,2.1,2.14,2.2,0.0,0.0,0.0,0.0,2.15,2.19,2.19,2.26,0.0,2.15,2.15,0.0,2.15,2.2,2.15,2.1,0.0,2.15,Utah Jazz,2.1,0.0,2.12,2.1,2.1,2.15,2.15,2.18,2.1,Northwest,Western,22,Sat,,Northwest,Southwest,Southwest,Northwest,Western,Western,N,-191.48333333333332,1,New Orleans Pelicans,Northwest,Southwest,Western,Western,1,2.1506666666666665,2.25,2.1506666666666665
24,1.87,0.0,0.0,0.0,1.87,1.87,1.93,0.0,1.87,1.85,1.87,1.87,1.93,0.0,1.85,1.87,1.86,0.0,0.0,0.0,0.0,1.85,1.87,1.89,1.94,0.0,1.87,1.88,0.0,1.9,1.91,1.87,1.85,0.0,1.87,Los Angeles Clippers,1.93,0.0,1.93,1.93,1.93,1.91,1.87,1.87,2.0,Pacific,Western,23,Sat,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-261.48333333333335,1,Dallas Mavericks,Pacific,Southwest,Western,Western,1,1.8903333333333332,1.93,1.890333333333333
