game_id,ev,team,odds,sportsbook,game_date,time_updated,user_name,average_market_odds,bet_amount,bet_profit
bacdb9bc308d6addfdec45e629629c06,29.67,Washington Nationalsv. Oakland Athletics,105,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",1 sec,youngfeiler,1.6966666666666663,37.0,38.85
f13823972245ad82213e6ed4d76c50f6,12.39,Milwaukee Brewersv. Chicago White Sox,165,['Betmgm'],"Fri, Aug 11, 2023, 06:00 PM MDT",2 sec,youngfeiler,2.313333333333333,10.0,16.5
bacdb9bc308d6addfdec45e629629c06,11.45,Washington Nationalsv. Oakland Athletics,125,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",3 sec,youngfeiler,2.018888888888889,13.0,16.25
bacdb9bc308d6addfdec45e629629c06,10.35,Washington Nationalsv. Oakland Athletics,120,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",8 sec,youngfeiler,2.038888888888889,12.0,14.4
f31529b02e419054477b2c39365a046d,10.28,St. Louis Cardinalsv. Kansas City Royals,-450,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",2 sec,youngfeiler,1.1244444444444446,70.0,15.555555555555555
f13823972245ad82213e6ed4d76c50f6,33.06,Milwaukee Brewersv. Chicago White Sox,320,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",2 sec,youngfeiler,3.006111111111112,16.0,51.2
f13823972245ad82213e6ed4d76c50f6,20.31,Chicago White Soxv. Milwaukee Brewers,145,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",5 sec,youngfeiler,2.1611111111111105,45.0,65.25
bacdb9bc308d6addfdec45e629629c06,22.74,Washington Nationalsv. Oakland Athletics,145,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",2 sec,youngfeiler,1.9961111111111112,23.0,33.35
bacdb9bc308d6addfdec45e629629c06,17.24,Washington Nationalsv. Oakland Athletics,375,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",1 min 29 sec,micah,2.558888888888889,25.0,93.75
f13823972245ad82213e6ed4d76c50f6,14.95,Chicago White Soxv. Milwaukee Brewers,290,['Betmgm'],"Fri, Aug 11, 2023, 06:00 PM MDT",5 sec,youngfeiler,3.392777777777778,7.0,20.3
f13823972245ad82213e6ed4d76c50f6,11.9,Chicago White Soxv. Milwaukee Brewers,250,"['Betmgm', 'Fanduel']","Fri, Aug 11, 2023, 06:00 PM MDT",12 sec,micah,3.3066666666666653,13.0,32.5
eb23205869f0cca74d3041572d3c7e5c,14.93,San Diego Padresv. Arizona Diamondbacks,450,['Bovada'],"Fri, Aug 11, 2023, 06:00 PM MDT",33 sec,youngfeiler,2.827777777777777,9.0,40.5
eb23205869f0cca74d3041572d3c7e5c,10.53,San Diego Padresv. Arizona Diamondbacks,475,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",1 min 23 sec,micah,5.202222222222222,7.0,33.25
f31529b02e419054477b2c39365a046d,13.3,Kansas City Royalsv. St. Louis Cardinals,500,"['Bovada', 'Pointsbetus']","Fri, Aug 11, 2023, 06:00 PM MDT",27 sec,micah,5.295555555555556,7.98,39.9
34544b09097d9d5936bf982a7e256b1c,23.4,Texas Rangersv. San Francisco Giants,160,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",10 sec,micah,2.35,16.0,25.6
bacdb9bc308d6addfdec45e629629c06,11.28,Washington Nationalsv. Oakland Athletics,-169,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",15 sec,micah,1.4288888888888889,50.77,30.0414201183432
bacdb9bc308d6addfdec45e629629c06,21.17,Washington Nationalsv. Oakland Athletics,-125,['Pointsbetus'],"Fri, Aug 11, 2023, 06:00 PM MDT",3 sec,micah,1.485555555555556,5.0,4.0
34544b09097d9d5936bf982a7e256b1c,11.68,San Francisco Giantsv. Texas Rangers,112,['Fanduel'],"Fri, Aug 11, 2023, 06:00 PM MDT",3 sec,micah,1.898333333333333,31.28,35.0336
34544b09097d9d5936bf982a7e256b1c,37.44,San Francisco Giantsv. Texas Rangers,235,['Betmgm'],"Fri, Aug 11, 2023, 06:00 PM MDT",5 sec,micah,2.255555555555555,35.0,82.25
2a01f3e17f9de2ed3b558cf827ecef58,11.0,Detroit Tigersv. Boston Red Sox,105,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",3 min 55 sec,youngfeiler,1.9023529411764708,22.0,23.1
f4a5d0f4b11999acc6e76eac90730cb5,12.65,Philadelphia Philliesv. Minnesota Twins,135,['Draftkings'],"Sat, Aug 12, 2023, 06:00 PM MDT",3 sec,youngfeiler,2.0860869565217395,14.0,18.9
4923b16c75fc741d20471b6a9c78f7ed,10.16,Oakland Athleticsv. Washington Nationals,-150,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",4 sec,youngfeiler,1.470588235294118,25.0,16.666666666666668
f4a5d0f4b11999acc6e76eac90730cb5,10.21,Minnesota Twinsv. Philadelphia Phillies,-105,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",7 sec,youngfeiler,1.7331250000000005,17.0,16.19047619047619
4923b16c75fc741d20471b6a9c78f7ed,13.3,Oakland Athleticsv. Washington Nationals,105,['Draftkings'],"Sat, Aug 12, 2023, 06:00 PM MDT",4 sec,youngfeiler,1.809375,14.98,15.729
f6e37662ae796771effc8038499fbe92,38.4,Miami Marlinsv. New York Yankees,280,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",4 sec,youngfeiler,2.6733333333333333,20.0,56.0
f6e37662ae796771effc8038499fbe92,20.51,Miami Marlinsv. New York Yankees,175,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",1 sec,youngfeiler,2.2820000000000005,18.0,31.5
59934628035537fc1ce1eef5e58b11d3,10.56,Los Angeles Angelsv. Houston Astros,110,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",19 sec,youngfeiler,1.8993750000000005,15.0,16.5
59934628035537fc1ce1eef5e58b11d3,10.29,Houston Astrosv. Los Angeles Angels,110,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",39 sec,youngfeiler,1.8587500000000008,14.0,15.4
f4a5d0f4b11999acc6e76eac90730cb5,11.78,Minnesota Twinsv. Philadelphia Phillies,-210,['Betmgm'],"Sat, Aug 12, 2023, 06:00 PM MDT",1 min 12 sec,youngfeiler,1.341875,5.83,2.776190476190476
f76ffba4729c2c7f48d0454780f11516,15.05,Los Angeles Dodgersv. Colorado Rockies,-298,['Draftkings'],"Sat, Aug 12, 2023 at 06:00 PM MDT",1 min 41 sec,youngfeiler,1.1821428571428572,60.0,20.13422818791946
