team_1,barstool_1_odds,barstool_1_time,betclic_1_odds,betclic_1_time,betfair_1_odds,betfair_1_time,betfred_1_odds,betfred_1_time,betmgm_1_odds,betmgm_1_time,betonlineag_1_odds,betonlineag_1_time,betrivers_1_odds,betrivers_1_time,betsson_1_odds,betsson_1_time,betus_1_odds,betus_1_time,betvictor_1_odds,betvictor_1_time,betway_1_odds,betway_1_time,bovada_1_odds,bovada_1_time,casumo_1_odds,casumo_1_time,circasports_1_odds,circasports_1_time,coral_1_odds,coral_1_time,draftkings_1_odds,draftkings_1_time,fanduel_1_odds,fanduel_1_time,foxbet_1_odds,foxbet_1_time,gtbets_1_odds,gtbets_1_time,intertops_1_odds,intertops_1_time,ladbrokes_1_odds,ladbrokes_1_time,livescorebet_1_odds,livescorebet_1_time,lowvig_1_odds,lowvig_1_time,marathonbet_1_odds,marathonbet_1_time,matchbook_1_odds,matchbook_1_time,mrgreen_1_odds,mrgreen_1_time,mybookieag_1_odds,mybookieag_1_time,nordicbet_1_odds,nordicbet_1_time,onexbet_1_odds,onexbet_1_time,paddypower_1_odds,paddypower_1_time,pinnacle_1_odds,pinnacle_1_time,pointsbetus_1_odds,pointsbetus_1_time,sport888_1_odds,sport888_1_time,sugarhouse_1_odds,sugarhouse_1_time,superbook_1_odds,superbook_1_time,twinspires_1_odds,twinspires_1_time,unibet_eu_1_odds,unibet_eu_1_time,unibet_uk_1_odds,unibet_uk_1_time,unibet_us_1_odds,unibet_us_1_time,virginbet_1_odds,virginbet_1_time,williamhill_us_1_odds,williamhill_us_1_time,wynnbet_1_odds,wynnbet_1_time,team_1_division,team_1_conference,game_id,commence_time,my_game_id,hour_of_start,week,day_of_week,home_away_neutral,home_team_division,away_team_division,team_1_division,team_2_division,home_team_conference,away_team_conference,day_night,snapshot_time,minutes_since_commence,target,opponent,this_team_division,opponent_team_division,this_team_conference,opponent_team_conference,home_away,average_market_odds_old,highest_bettable_odds,average_market_odds_recent,ev
Minnesota Vikings,1.71,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.65,2023-09-10 12:38:06,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.54,2023-09-10 12:35:30,0.0,1970-01-01 00:00:00,1.6,2023-09-10 12:38:33,1.6,2023-09-10 12:38:33,1.77,2023-09-10 12:38:33,1.63,2023-09-10 12:38:19,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.6,2023-09-10 12:38:49,1.68,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.6,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.67,2023-09-10 12:36:03,1.63,2023-09-10 12:38:33,1.75,2023-09-10 12:38:16,1.7,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,1.67,2023-09-10 12:38:22,1.65,2023-09-10 12:38:10,1.61,2023-09-10 12:38:08,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.63,2023-09-10 12:38:18,1.63,2023-09-10 12:38:37,1.63,2023-09-10 12:38:33,1.63,2023-09-10 12:38:13,1.6,2023-09-10 12:38:19,1.69,2023-09-10 12:38:13,1.49,2023-09-10 12:34:53,NFC,North,b3763a6d678b9787e27cec3272252e24,2023-09-10 10:02:34,Minnesota VikingsTampa Bay Buccaneers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,North,South,D,2023-09-10 12:38:51,156.28333333333333,0,Tampa Bay Buccaneers,NFC,NFC,North,South,1,1.64,1.75,1.6399999999999997,6.7
Atlanta Falcons,1.05,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.05,2023-09-10 12:38:06,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,1.04,2023-09-10 12:38:33,1.03,2023-09-10 12:38:33,1.06,2023-09-10 12:38:33,1.09,2023-09-10 12:38:19,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.03,2023-09-10 12:38:49,1.01,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.04,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.08,2023-09-10 12:38:33,1.05,2023-09-10 12:38:16,1.0,2023-09-10 12:37:48,0.0,1970-01-01 00:00:00,1.04,2023-09-10 12:38:22,1.09,2023-09-10 12:38:10,1.05,2023-09-10 12:38:08,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.09,2023-09-10 12:38:18,1.04,2023-09-10 12:38:37,1.09,2023-09-10 12:38:33,1.09,2023-09-10 12:38:13,1.06,2023-09-10 12:38:19,1.05,2023-09-10 12:38:13,1.0,2023-09-10 12:36:57,NFC,South,6c2d3077c50eece8e6a37742d1ac5756,2023-09-10 10:02:41,Atlanta FalconsCarolina Panthers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,South,South,D,2023-09-10 12:38:51,156.16666666666666,0,Carolina Panthers,NFC,NFC,South,South,1,1.0491304347826087,1.09,1.0491304347826087,3.9
Arizona Cardinals,3.6,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,3.5,2023-09-10 12:38:06,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,4.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,3.4,2023-09-10 12:38:33,3.5,2023-09-10 12:38:33,4.6,2023-09-10 12:38:33,3.35,2023-09-10 12:38:19,0.0,1970-01-01,0.0,1970-01-01 00:00:00,3.4,2023-09-10 12:38:49,3.5,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,3.4,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,3.2,2023-09-10 12:38:33,3.4,2023-09-10 12:38:16,3.55,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,3.5,2023-09-10 12:38:22,2.94,2023-09-10 12:38:10,3.3,2023-09-10 12:38:08,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,3.35,2023-09-10 12:38:18,3.35,2023-09-10 12:38:37,3.2,2023-09-10 12:38:33,3.25,2023-09-10 12:38:13,3.4,2023-09-10 12:38:19,3.5,2023-09-10 12:38:13,4.3,2023-09-10 12:36:57,NFC,West,175d9f07fc52d99b21bc772b1499c3d8,2023-09-10 10:02:44,Arizona CardinalsWashington Commanders2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,East,West,D,2023-09-10 12:38:51,156.11666666666667,0,Washington Commanders,NFC,NFC,West,East,0,3.499565217391304,4.3,3.499565217391304,22.9
Baltimore Ravens,1.02,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.01,2023-09-10 12:38:06,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.01,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.01,2023-09-10 12:38:08,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.01,2023-09-10 12:38:19,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:36:57,AFC,North,33368d4979d3475b77f5e9eb49648203,2023-09-10 10:02:52,Baltimore RavensHouston Texans2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,South,D,2023-09-10 12:38:51,155.98333333333332,0,Houston Texans,AFC,AFC,North,South,1,1.006,1.02,1.0059999999999998,1.4
Cincinnati Bengals,8.5,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,7.75,2023-09-10 12:38:06,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,9.1,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,9.0,2023-09-10 12:38:33,7.5,2023-09-10 12:38:33,7.75,2023-09-10 12:38:33,9.0,2023-09-10 12:38:19,0.0,1970-01-01,0.0,1970-01-01 00:00:00,8.5,2023-09-10 12:38:49,9.0,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,7.5,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,7.0,2023-09-10 12:38:10,7.5,2023-09-10 12:38:33,7.25,2023-09-10 12:38:16,9.5,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,8.0,2023-09-10 12:38:22,0.0,1970-01-01 00:00:00,10.0,2023-09-10 12:38:08,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,9.0,2023-09-10 12:38:18,9.0,2023-09-10 12:38:37,8.0,2023-09-10 12:38:33,9.0,2023-09-10 12:38:13,7.5,2023-09-10 12:38:19,7.5,2023-09-10 12:38:13,8.4,2023-09-10 12:36:57,AFC,North,35294c242bcfdb30c9f58dc6f68da6b2,2023-09-10 10:03:00,Cincinnati BengalsCleveland Browns2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,North,D,2023-09-10 12:38:51,155.85,0,Cleveland Browns,AFC,AFC,North,North,0,8.315217391304348,10.0,8.315217391304348,20.3
New England Patriots,2.6,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.5,2023-09-10 12:38:06,2.65,2023-09-10 12:38:49,2.6,2023-09-10 12:38:18,2.6,2023-09-10 12:38:33,2.6,2023-09-10 12:37:50,2.5,2023-09-10 12:38:33,2.5,2023-09-10 12:38:33,2.55,2023-09-10 12:38:33,2.55,2023-09-10 12:38:19,0.0,1970-01-01,2.5,2023-09-10 12:38:33,2.54,2023-09-10 12:38:49,2.48,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.55,2023-09-10 12:38:33,2.65,2023-09-10 12:37:57,2.36,2023-09-10 12:38:18,2.74,2023-09-10 12:38:10,2.55,2023-09-10 12:38:33,2.5,2023-09-10 12:38:16,2.6,2023-09-10 12:38:33,2.47,2023-09-10 12:38:22,2.5,2023-09-10 12:38:22,2.65,2023-09-10 12:38:10,2.6,2023-09-10 12:38:08,2.5,2023-09-10 12:38:13,0.0,1970-01-01,2.65,2023-09-10 12:38:36,2.55,2023-09-10 12:38:18,2.6,2023-09-10 12:38:37,2.55,2023-09-10 12:38:33,2.55,2023-09-10 12:38:13,2.55,2023-09-10 12:38:19,2.58,2023-09-10 12:38:13,2.63,2023-09-10 12:36:57,AFC,East,0a368c64b212ecbad4ec46f6ff6c1af2,2023-09-10 13:25:00,New England PatriotsPhiladelphia Eagles2023-09-10,13,1.0,Sun,@,AFC,NFC,AFC,NFC,East,East,D,2023-09-10 12:38:51,-46.15,0,Philadelphia Eagles,AFC,NFC,East,East,1,2.5606060606060597,2.65,2.56060606060606,3.5
Green Bay Packers,2.0,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 12:38:06,1.99,2023-09-10 12:38:49,2.02,2023-09-10 12:38:18,2.01,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,2.0,2023-09-10 12:38:33,2.05,2023-09-10 12:38:33,2.05,2023-09-10 12:38:33,1.94,2023-09-10 12:38:19,0.0,1970-01-01,2.0,2023-09-10 12:38:33,1.98,2023-09-10 12:38:49,2.06,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 12:38:33,1.99,2023-09-10 12:37:57,2.0,2023-09-10 12:38:18,2.12,2023-09-10 12:38:10,1.93,2023-09-10 12:38:33,2.0,2023-09-10 12:38:16,2.01,2023-09-10 12:38:33,2.0,2023-09-10 12:38:22,2.0,2023-09-10 12:38:22,2.08,2023-09-10 12:38:10,2.05,2023-09-10 12:38:08,2.0,2023-09-10 12:38:13,0.0,1970-01-01,2.0,2023-09-10 12:38:36,1.94,2023-09-10 12:38:18,2.02,2023-09-10 12:38:37,1.94,2023-09-10 12:38:33,1.94,2023-09-10 12:38:13,2.0,2023-09-10 12:38:19,2.0,2023-09-10 12:38:13,2.06,2023-09-10 12:36:57,NFC,North,54b900ff32cfc8ad40f4d856fc5a4985,2023-09-10 13:25:00,Chicago BearsGreen Bay Packers2023-09-10,13,1.0,Sun,@,NFC,NFC,NFC,NFC,North,North,D,2023-09-10 12:38:51,-46.15,0,Chicago Bears,NFC,NFC,North,North,0,2.0056249999999998,2.08,2.005625,3.7
Miami Dolphins,2.35,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.35,2023-09-10 12:38:06,2.41,2023-09-10 12:38:49,2.42,2023-09-10 12:38:18,2.39,2023-09-10 12:38:33,2.45,2023-09-10 12:37:50,2.3,2023-09-10 12:38:33,2.38,2023-09-10 12:38:33,2.4,2023-09-10 12:38:33,2.38,2023-09-10 12:38:19,0.0,1970-01-01,2.37,2023-09-10 12:38:33,2.36,2023-09-10 12:38:49,2.4,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.38,2023-09-10 12:38:33,2.41,2023-09-10 12:37:57,2.36,2023-09-10 12:38:18,2.44,2023-09-10 12:38:10,2.38,2023-09-10 12:38:33,2.34,2023-09-10 12:38:16,2.39,2023-09-10 12:38:33,2.36,2023-09-10 12:38:22,2.38,2023-09-10 12:38:22,2.44,2023-09-10 12:38:10,2.45,2023-09-10 12:38:08,2.3,2023-09-10 12:38:13,0.0,1970-01-01,2.4,2023-09-10 12:38:36,2.38,2023-09-10 12:38:18,2.42,2023-09-10 12:38:37,2.38,2023-09-10 12:38:33,2.38,2023-09-10 12:38:13,2.38,2023-09-10 12:38:19,2.4,2023-09-10 12:38:13,2.33,2023-09-10 12:36:57,AFC,East,d543cbc3d38bed6c7c727e3cabc1188e,2023-09-10 13:25:00,Los Angeles ChargersMiami Dolphins2023-09-10,13,1.0,Sun,@,AFC,AFC,AFC,AFC,West,East,D,2023-09-10 12:38:51,-46.15,0,Los Angeles Chargers,AFC,AFC,East,West,0,2.383636363636363,2.45,2.3836363636363633,2.8
Seattle Seahawks,1.47,2023-09-10 12:38:23,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.44,2023-09-10 12:38:06,1.48,2023-09-10 12:38:49,1.44,2023-09-10 12:38:18,1.46,2023-09-10 12:38:33,1.45,2023-09-10 12:37:50,1.5,2023-09-10 12:38:33,1.53,2023-09-10 12:38:33,1.48,2023-09-10 12:38:33,1.43,2023-09-10 12:38:19,0.0,1970-01-01,1.44,2023-09-10 12:38:33,1.46,2023-09-10 12:38:49,1.48,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.44,2023-09-10 12:38:33,1.48,2023-09-10 12:37:57,1.47,2023-09-10 12:38:18,1.52,2023-09-10 12:38:10,1.42,2023-09-10 12:38:33,1.47,2023-09-10 12:38:16,1.46,2023-09-10 12:38:33,1.46,2023-09-10 12:38:22,1.45,2023-09-10 12:38:22,1.51,2023-09-10 12:38:10,1.48,2023-09-10 12:38:08,1.5,2023-09-10 12:38:13,0.0,1970-01-01,1.45,2023-09-10 12:38:36,1.43,2023-09-10 12:38:18,1.44,2023-09-10 12:38:37,1.43,2023-09-10 12:38:33,1.43,2023-09-10 12:38:13,1.44,2023-09-10 12:38:19,1.45,2023-09-10 12:38:13,1.47,2023-09-10 12:36:57,NFC,West,d818062d65dfa411c269ee61943655cd,2023-09-10 13:25:00,Los Angeles RamsSeattle Seahawks2023-09-10,13,1.0,Sun,@,NFC,NFC,NFC,NFC,West,West,D,2023-09-10 12:38:51,-46.15,0,Los Angeles Rams,NFC,NFC,West,West,1,1.4624242424242424,1.51,1.4624242424242426,3.3
Minnesota Vikings,1.71,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.65,2023-09-10 12:38:58,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.7,2023-09-10 12:39:13,0.0,1970-01-01 00:00:00,1.6,2023-09-10 12:39:16,1.6,2023-09-10 12:39:17,1.77,2023-09-10 12:39:17,1.65,2023-09-10 12:38:59,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.6,2023-09-10 12:38:49,1.68,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.6,2023-09-10 12:39:17,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.67,2023-09-10 12:36:03,1.68,2023-09-10 12:39:17,1.65,2023-09-10 12:39:00,1.7,2023-09-10 12:39:14,0.0,1970-01-01 00:00:00,1.67,2023-09-10 12:39:06,1.65,2023-09-10 12:38:54,1.61,2023-09-10 12:38:59,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.65,2023-09-10 12:39:00,1.63,2023-09-10 12:38:37,1.68,2023-09-10 12:39:17,1.63,2023-09-10 12:38:57,1.6,2023-09-10 12:38:59,1.69,2023-09-10 12:38:56,1.65,2023-09-10 12:39:00,NFC,North,b3763a6d678b9787e27cec3272252e24,2023-09-10 10:02:34,Minnesota VikingsTampa Bay Buccaneers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,North,South,D,2023-09-10 12:39:20,156.76666666666668,0,Tampa Bay Buccaneers,NFC,NFC,North,South,1,1.6549999999999996,1.71,1.6549999999999996,3.3
Atlanta Falcons,1.03,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.02,2023-09-10 12:38:58,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:39:13,0.0,1970-01-01 00:00:00,1.05,2023-09-10 12:39:16,1.03,2023-09-10 12:38:33,1.06,2023-09-10 12:39:17,1.04,2023-09-10 12:38:59,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.03,2023-09-10 12:38:49,1.01,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.04,2023-09-10 12:39:17,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.04,2023-09-10 12:39:17,1.03,2023-09-10 12:39:00,1.0,2023-09-10 12:39:14,0.0,1970-01-01 00:00:00,1.01,2023-09-10 12:39:06,1.09,2023-09-10 12:38:54,1.04,2023-09-10 12:38:59,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.04,2023-09-10 12:39:00,1.04,2023-09-10 12:38:37,1.05,2023-09-10 12:39:17,1.04,2023-09-10 12:38:57,1.03,2023-09-10 12:38:59,1.05,2023-09-10 12:38:56,1.0,2023-09-10 12:39:00,NFC,South,6c2d3077c50eece8e6a37742d1ac5756,2023-09-10 10:02:41,Atlanta FalconsCarolina Panthers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,South,South,D,2023-09-10 12:39:20,156.65,0,Carolina Panthers,NFC,NFC,South,South,1,1.033478260869565,1.09,1.0334782608695652,5.5
Baltimore Ravens,1.0,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.01,2023-09-10 12:38:58,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:39:16,1.0,2023-09-10 12:39:17,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:33,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:38:59,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.0,2023-09-10 12:36:57,AFC,North,33368d4979d3475b77f5e9eb49648203,2023-09-10 10:02:52,Baltimore RavensHouston Texans2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,South,D,2023-09-10 12:39:20,156.46666666666667,0,Houston Texans,AFC,AFC,North,South,1,1.00125,1.01,1.00125,0.9
Cincinnati Bengals,8.5,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,7.75,2023-09-10 12:38:58,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,10.5,2023-09-10 12:39:13,0.0,1970-01-01 00:00:00,11.0,2023-09-10 12:39:16,6.5,2023-09-10 12:39:17,7.75,2023-09-10 12:39:17,10.0,2023-09-10 12:38:59,0.0,1970-01-01,0.0,1970-01-01 00:00:00,8.5,2023-09-10 12:38:49,9.0,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,8.5,2023-09-10 12:39:17,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,6.6,2023-09-10 12:38:54,7.5,2023-09-10 12:39:17,7.25,2023-09-10 12:39:00,10.5,2023-09-10 12:39:14,0.0,1970-01-01 00:00:00,8.5,2023-09-10 12:39:06,0.0,1970-01-01 00:00:00,10.0,2023-09-10 12:38:59,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,10.0,2023-09-10 12:39:00,9.0,2023-09-10 12:38:37,7.5,2023-09-10 12:39:17,10.0,2023-09-10 12:38:57,8.5,2023-09-10 12:38:59,7.5,2023-09-10 12:38:56,8.4,2023-09-10 12:36:57,AFC,North,35294c242bcfdb30c9f58dc6f68da6b2,2023-09-10 10:03:00,Cincinnati BengalsCleveland Browns2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,North,D,2023-09-10 12:39:20,156.33333333333334,0,Cleveland Browns,AFC,AFC,North,North,0,8.66304347826087,10.0,8.66304347826087,15.4
New England Patriots,2.6,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.5,2023-09-10 12:38:58,2.65,2023-09-10 12:38:49,2.6,2023-09-10 12:38:59,2.6,2023-09-10 12:39:13,2.6,2023-09-10 12:38:51,2.5,2023-09-10 12:39:16,2.5,2023-09-10 12:39:17,2.55,2023-09-10 12:39:17,2.55,2023-09-10 12:38:59,0.0,1970-01-01,2.5,2023-09-10 12:39:16,2.54,2023-09-10 12:38:49,2.48,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.55,2023-09-10 12:39:17,2.65,2023-09-10 12:39:02,2.36,2023-09-10 12:38:18,2.74,2023-09-10 12:38:54,2.55,2023-09-10 12:39:17,2.5,2023-09-10 12:39:00,2.6,2023-09-10 12:39:14,2.47,2023-09-10 12:39:07,2.5,2023-09-10 12:39:06,2.65,2023-09-10 12:38:54,2.6,2023-09-10 12:38:59,2.5,2023-09-10 12:38:57,0.0,1970-01-01,2.65,2023-09-10 12:38:36,2.55,2023-09-10 12:39:00,2.6,2023-09-10 12:38:37,2.55,2023-09-10 12:39:17,2.55,2023-09-10 12:38:57,2.55,2023-09-10 12:38:59,2.58,2023-09-10 12:38:56,2.63,2023-09-10 12:39:00,AFC,East,0a368c64b212ecbad4ec46f6ff6c1af2,2023-09-10 13:25:00,New England PatriotsPhiladelphia Eagles2023-09-10,13,1.0,Sun,@,AFC,NFC,AFC,NFC,East,East,D,2023-09-10 12:39:20,-45.666666666666664,0,Philadelphia Eagles,AFC,NFC,East,East,1,2.5606060606060597,2.65,2.56060606060606,3.5
Green Bay Packers,2.0,2023-09-10 12:39:07,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 12:38:58,1.99,2023-09-10 12:38:49,2.02,2023-09-10 12:38:59,2.01,2023-09-10 12:39:13,0.0,1970-01-01 00:00:00,2.0,2023-09-10 12:39:16,2.05,2023-09-10 12:39:17,2.05,2023-09-10 12:39:17,1.94,2023-09-10 12:38:59,0.0,1970-01-01,2.0,2023-09-10 12:39:16,1.98,2023-09-10 12:38:49,2.06,2023-09-10 12:38:49,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 12:39:17,1.99,2023-09-10 12:39:02,2.0,2023-09-10 12:38:18,2.12,2023-09-10 12:38:54,1.93,2023-09-10 12:39:17,2.0,2023-09-10 12:39:00,2.01,2023-09-10 12:39:14,2.0,2023-09-10 12:39:07,2.0,2023-09-10 12:39:06,2.08,2023-09-10 12:38:54,2.05,2023-09-10 12:38:59,2.0,2023-09-10 12:38:57,0.0,1970-01-01,2.0,2023-09-10 12:38:36,1.94,2023-09-10 12:39:00,2.02,2023-09-10 12:38:37,1.94,2023-09-10 12:39:17,1.94,2023-09-10 12:38:57,2.0,2023-09-10 12:38:59,2.0,2023-09-10 12:38:56,2.06,2023-09-10 12:39:00,NFC,North,54b900ff32cfc8ad40f4d856fc5a4985,2023-09-10 13:25:00,Chicago BearsGreen Bay Packers2023-09-10,13,1.0,Sun,@,NFC,NFC,NFC,NFC,North,North,D,2023-09-10 12:39:20,-45.666666666666664,0,Chicago Bears,NFC,NFC,North,North,0,2.0056249999999998,2.08,2.005625,3.7
