game_id,sport_title,commence_time,home_team,away_team,home_team_score,away_team_score,winning_team
20afc7180efbdee283026619c62d723e,MLB,2023-07-23T20:07:00Z,Los Angeles Angels,Pittsburgh Pirates,7.0,5.0,Los Angeles Angels
37d01984ea014fdc3c4dd74646bc8153,MLB,2023-07-23T20:10:00Z,Seattle Mariners,Toronto Blue Jays,3.0,4.0,Toronto Blue Jays
af1229a364b9081daadc74bf050c35e0,MLB,2023-07-23T23:10:00Z,Boston Red Sox,New York Mets,6.0,1.0,Boston Red Sox
43429f03f224b4625300eefcc79165d0,MLB,2023-07-24T17:10:10Z,Detroit Tigers,San Francisco Giants,5.0,1.0,Detroit Tigers
56551b92229bfa823d851372ac9e2cbc,MLB,2023-07-24T22:43:35Z,Philadelphia Phillies,Baltimore Orioles,2.0,3.0,Baltimore Orioles
39e223838940bca436f3601230153840,MLB,2023-07-24T23:05:14Z,Washington Nationals,Colorado Rockies,6.0,10.0,Colorado Rockies
db02c98f7928c39aed6149b56379de1e,MLB,2023-07-24T23:10:00Z,Cleveland Guardians,Kansas City Royals,3.0,5.0,Kansas City Royals
c41252e2225e20647da884ba90a5aecc,MLB,2023-07-24T23:41:34Z,Minnesota Twins,Seattle Mariners,4.0,3.0,Minnesota Twins
5bf442cc3eb9a4d7c0c1ef92c11b33ce,MLB,2023-07-25T00:10:33Z,Milwaukee Brewers,Cincinnati Reds,3.0,2.0,Milwaukee Brewers
74ccfb375dd7632f12420ac5275de202,MLB,2023-07-25T00:10:52Z,Houston Astros,Texas Rangers,10.0,9.0,Houston Astros
878058db54eb068e73bbe6f6daaee4f1,MLB,2023-07-25T01:39:53Z,Arizona Diamondbacks,St. Louis Cardinals,6.0,10.0,St. Louis Cardinals
2a39c07a4698e32b382120e7cf20d099,MLB,2023-07-25T01:39:58Z,San Diego Padres,Pittsburgh Pirates,4.0,8.0,Pittsburgh Pirates
d0fa9f0da2b3630283997463c0755c85,MLB,2023-07-25T02:10:22Z,Los Angeles Dodgers,Toronto Blue Jays,3.0,6.0,Toronto Blue Jays
407dec919e4289f64a19f2c055664145,MLB,2023-07-25T22:40:00Z,Philadelphia Phillies,Baltimore Orioles,4.0,3.0,Philadelphia Phillies
e4a0297bc8f1295baa19c2dd74361cb1,MLB,2023-07-25T22:40:00Z,Tampa Bay Rays,Miami Marlins,4.0,1.0,Tampa Bay Rays
