date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
2/13/2021,St. Louis Blues,5,Arizona Coyotes,4,St. Louis Blues,@,Arizona Coyotes,Arizona Coyotes,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/13/2021,Columbus Blue Jackets,2,Chicago Blackhawks,3,Chicago Blackhawks,,Columbus Blue Jackets,Chicago Blackhawks,Columbus Blue Jackets,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
2/13/2021,Carolina Hurricanes,4,Dallas Stars,3,Carolina Hurricanes,@,Dallas Stars,Carolina Hurricanes,Dallas Stars,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
2/13/2021,Tampa Bay Lightning,6,Florida Panthers,1,Tampa Bay Lightning,@,Florida Panthers,Florida Panthers,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
2/13/2021,Detroit Red Wings,4,Nashville Predators,2,Detroit Red Wings,@,Nashville Predators,Detroit Red Wings,Nashville Predators,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
2/13/2021,Boston Bruins,2,New York Islanders,4,New York Islanders,,Boston Bruins,Boston Bruins,New York Islanders,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
2/13/2021,Vegas Golden Knights,3,San Jose Sharks,1,Vegas Golden Knights,@,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/13/2021,Montreal Canadiens,2,Toronto Maple Leafs,1,Montreal Canadiens,@,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
2/13/2021,Calgary Flames,1,Vancouver Canucks,3,Vancouver Canucks,,Calgary Flames,Calgary Flames,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/13/2021,Ottawa Senators,2,Winnipeg Jets,1,Ottawa Senators,@,Winnipeg Jets,Ottawa Senators,Winnipeg Jets,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
2/14/2021,Washington Capitals,3,Pittsburgh Penguins,6,Pittsburgh Penguins,,Washington Capitals,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
2/14/2021,Colorado Avalanche,0,Vegas Golden Knights,1,Vegas Golden Knights,,Colorado Avalanche,Colorado Avalanche,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/15/2021,St. Louis Blues,0,Arizona Coyotes,1,Arizona Coyotes,,St. Louis Blues,Arizona Coyotes,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/15/2021,New York Islanders,3,Buffalo Sabres,1,New York Islanders,@,Buffalo Sabres,Buffalo Sabres,New York Islanders,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
2/15/2021,Columbus Blue Jackets,3,Carolina Hurricanes,7,Carolina Hurricanes,,Columbus Blue Jackets,Carolina Hurricanes,Columbus Blue Jackets,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
2/15/2021,Chicago Blackhawks,3,Detroit Red Wings,2,Chicago Blackhawks,@,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
2/15/2021,Winnipeg Jets,6,Edmonton Oilers,5,Winnipeg Jets,@,Edmonton Oilers,Edmonton Oilers,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/15/2021,Anaheim Ducks,2,San Jose Sharks,3,San Jose Sharks,,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/15/2021,Florida Panthers,6,Tampa Bay Lightning,4,Florida Panthers,@,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
2/15/2021,Ottawa Senators,6,Toronto Maple Leafs,5,Ottawa Senators,@,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
2/15/2021,Calgary Flames,4,Vancouver Canucks,3,Calgary Flames,@,Vancouver Canucks,Calgary Flames,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/16/2021,New York Islanders,3,Buffalo Sabres,0,New York Islanders,@,Buffalo Sabres,Buffalo Sabres,New York Islanders,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
2/16/2021,Minnesota Wild,0,Los Angeles Kings,4,Los Angeles Kings,,Minnesota Wild,Los Angeles Kings,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
2/16/2021,New Jersey Devils,5,New York Rangers,2,New Jersey Devils,@,New York Rangers,New Jersey Devils,New York Rangers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
2/16/2021,Washington Capitals,3,Pittsburgh Penguins,1,Washington Capitals,@,Pittsburgh Penguins,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
2/16/2021,Colorado Avalanche,3,Vegas Golden Knights,2,Colorado Avalanche,@,Vegas Golden Knights,Colorado Avalanche,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
