date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
11/30/2021,Arizona Coyotes,2,Minnesota Wild,5,Minnesota Wild,,Arizona Coyotes,Arizona Coyotes,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
11/30/2021,San Jose Sharks,5,New Jersey Devils,2,San Jose Sharks,@,New Jersey Devils,New Jersey Devils,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
11/30/2021,Columbus Blue Jackets,0,Nashville Predators,6,Nashville Predators,,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
11/30/2021,Tampa Bay Lightning,3,St. Louis Blues,4,St. Louis Blues,,Tampa Bay Lightning,St. Louis Blues,Tampa Bay Lightning,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/1/2021,Vegas Golden Knights,5,Anaheim Ducks,6,Anaheim Ducks,,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/1/2021,Seattle Kraken,3,Detroit Red Wings,4,Detroit Red Wings,,Seattle Kraken,Detroit Red Wings,Seattle Kraken,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/1/2021,Pittsburgh Penguins,2,Edmonton Oilers,5,Edmonton Oilers,,Pittsburgh Penguins,Edmonton Oilers,Pittsburgh Penguins,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/1/2021,Philadelphia Flyers,1,New York Rangers,4,New York Rangers,,Philadelphia Flyers,New York Rangers,Philadelphia Flyers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/1/2021,Vancouver Canucks,6,Ottawa Senators,2,Vancouver Canucks,@,Ottawa Senators,Ottawa Senators,Vancouver Canucks,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/1/2021,Colorado Avalanche,3,Toronto Maple Leafs,8,Toronto Maple Leafs,,Colorado Avalanche,Colorado Avalanche,Toronto Maple Leafs,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/2/2021,Ottawa Senators,3,Carolina Hurricanes,2,Ottawa Senators,@,Carolina Hurricanes,Carolina Hurricanes,Ottawa Senators,Eastern,Metropolitan,Eastern,Atlantic,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/2/2021,Columbus Blue Jackets,2,Dallas Stars,3,Dallas Stars,,Columbus Blue Jackets,Columbus Blue Jackets,Dallas Stars,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/2/2021,Buffalo Sabres,4,Florida Panthers,7,Florida Panthers,,Buffalo Sabres,Buffalo Sabres,Florida Panthers,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/2/2021,Calgary Flames,3,Los Angeles Kings,2,Calgary Flames,@,Los Angeles Kings,Calgary Flames,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/2/2021,New Jersey Devils,2,Minnesota Wild,5,Minnesota Wild,,New Jersey Devils,Minnesota Wild,New Jersey Devils,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/2/2021,Colorado Avalanche,4,Montreal Canadiens,1,Colorado Avalanche,@,Montreal Canadiens,Colorado Avalanche,Montreal Canadiens,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/2/2021,Boston Bruins,2,Nashville Predators,0,Boston Bruins,@,Nashville Predators,Boston Bruins,Nashville Predators,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/2/2021,San Jose Sharks,2,New York Islanders,1,San Jose Sharks,@,New York Islanders,New York Islanders,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
12/2/2021,St. Louis Blues,2,Tampa Bay Lightning,4,Tampa Bay Lightning,,St. Louis Blues,St. Louis Blues,Tampa Bay Lightning,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/2/2021,Chicago Blackhawks,4,Washington Capitals,3,Chicago Blackhawks,@,Washington Capitals,Chicago Blackhawks,Washington Capitals,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/3/2021,Calgary Flames,4,Anaheim Ducks,3,Calgary Flames,@,Anaheim Ducks,Anaheim Ducks,Calgary Flames,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/3/2021,Vegas Golden Knights,7,Arizona Coyotes,1,Vegas Golden Knights,@,Arizona Coyotes,Arizona Coyotes,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/3/2021,San Jose Sharks,0,New York Rangers,1,New York Rangers,,San Jose Sharks,New York Rangers,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
12/3/2021,Edmonton Oilers,3,Seattle Kraken,4,Seattle Kraken,,Edmonton Oilers,Edmonton Oilers,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/3/2021,New Jersey Devils,4,Winnipeg Jets,8,Winnipeg Jets,,New Jersey Devils,New Jersey Devils,Winnipeg Jets,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/4/2021,Tampa Bay Lightning,3,Boston Bruins,2,Tampa Bay Lightning,@,Boston Bruins,Boston Bruins,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/4/2021,Buffalo Sabres,2,Carolina Hurricanes,6,Carolina Hurricanes,,Buffalo Sabres,Buffalo Sabres,Carolina Hurricanes,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/4/2021,New York Islanders,3,Detroit Red Wings,4,Detroit Red Wings,,New York Islanders,Detroit Red Wings,New York Islanders,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/4/2021,St. Louis Blues,3,Florida Panthers,4,Florida Panthers,,St. Louis Blues,Florida Panthers,St. Louis Blues,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/4/2021,Toronto Maple Leafs,3,Minnesota Wild,4,Minnesota Wild,,Toronto Maple Leafs,Minnesota Wild,Toronto Maple Leafs,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/4/2021,Montreal Canadiens,3,Nashville Predators,4,Nashville Predators,,Montreal Canadiens,Montreal Canadiens,Nashville Predators,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/4/2021,Chicago Blackhawks,2,New York Rangers,3,New York Rangers,,Chicago Blackhawks,Chicago Blackhawks,New York Rangers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/4/2021,Colorado Avalanche,5,Ottawa Senators,6,Ottawa Senators,,Colorado Avalanche,Colorado Avalanche,Ottawa Senators,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/4/2021,Pittsburgh Penguins,4,Vancouver Canucks,1,Pittsburgh Penguins,@,Vancouver Canucks,Pittsburgh Penguins,Vancouver Canucks,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/4/2021,Columbus Blue Jackets,1,Washington Capitals,3,Washington Capitals,,Columbus Blue Jackets,Columbus Blue Jackets,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/5/2021,San Jose Sharks,4,Columbus Blue Jackets,6,Columbus Blue Jackets,,San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
12/5/2021,Los Angeles Kings,5,Edmonton Oilers,1,Los Angeles Kings,@,Edmonton Oilers,Edmonton Oilers,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/5/2021,Chicago Blackhawks,3,New York Islanders,2,Chicago Blackhawks,@,New York Islanders,Chicago Blackhawks,New York Islanders,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/5/2021,Tampa Bay Lightning,7,Philadelphia Flyers,1,Tampa Bay Lightning,@,Philadelphia Flyers,Philadelphia Flyers,Tampa Bay Lightning,Eastern,Metropolitan,Eastern,Atlantic,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/5/2021,Calgary Flames,2,Vegas Golden Knights,3,Vegas Golden Knights,,Calgary Flames,Calgary Flames,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/5/2021,Toronto Maple Leafs,3,Winnipeg Jets,6,Winnipeg Jets,,Toronto Maple Leafs,Toronto Maple Leafs,Winnipeg Jets,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/6/2021,Arizona Coyotes,1,Dallas Stars,4,Dallas Stars,,Arizona Coyotes,Arizona Coyotes,Dallas Stars,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/6/2021,Ottawa Senators,3,New Jersey Devils,2,Ottawa Senators,@,New Jersey Devils,New Jersey Devils,Ottawa Senators,Eastern,Metropolitan,Eastern,Atlantic,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/6/2021,Colorado Avalanche,7,Philadelphia Flyers,5,Colorado Avalanche,@,Philadelphia Flyers,Colorado Avalanche,Philadelphia Flyers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/6/2021,Pittsburgh Penguins,6,Seattle Kraken,1,Pittsburgh Penguins,@,Seattle Kraken,Pittsburgh Penguins,Seattle Kraken,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/6/2021,Los Angeles Kings,0,Vancouver Canucks,4,Vancouver Canucks,,Los Angeles Kings,Los Angeles Kings,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/6/2021,Anaheim Ducks,3,Washington Capitals,4,Washington Capitals,,Anaheim Ducks,Anaheim Ducks,Washington Capitals,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/7/2021,Anaheim Ducks,2,Buffalo Sabres,0,Anaheim Ducks,@,Buffalo Sabres,Anaheim Ducks,Buffalo Sabres,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/7/2021,New York Rangers,6,Chicago Blackhawks,2,New York Rangers,@,Chicago Blackhawks,Chicago Blackhawks,New York Rangers,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/7/2021,Nashville Predators,5,Detroit Red Wings,2,Nashville Predators,@,Detroit Red Wings,Detroit Red Wings,Nashville Predators,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/7/2021,Minnesota Wild,4,Edmonton Oilers,1,Minnesota Wild,@,Edmonton Oilers,Edmonton Oilers,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/7/2021,Tampa Bay Lightning,3,Montreal Canadiens,2,Tampa Bay Lightning,@,Montreal Canadiens,Montreal Canadiens,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/7/2021,New York Islanders,5,Ottawa Senators,3,New York Islanders,@,Ottawa Senators,New York Islanders,Ottawa Senators,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/7/2021,Calgary Flames,3,San Jose Sharks,5,San Jose Sharks,,Calgary Flames,Calgary Flames,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/7/2021,Florida Panthers,3,St. Louis Blues,4,St. Louis Blues,,Florida Panthers,Florida Panthers,St. Louis Blues,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/7/2021,Columbus Blue Jackets,4,Toronto Maple Leafs,5,Toronto Maple Leafs,,Columbus Blue Jackets,Columbus Blue Jackets,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/7/2021,Carolina Hurricanes,4,Winnipeg Jets,2,Carolina Hurricanes,@,Winnipeg Jets,Carolina Hurricanes,Winnipeg Jets,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/8/2021,Philadelphia Flyers,0,New Jersey Devils,3,New Jersey Devils,,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/8/2021,Colorado Avalanche,7,New York Rangers,3,Colorado Avalanche,@,New York Rangers,Colorado Avalanche,New York Rangers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/8/2021,Boston Bruins,1,Vancouver Canucks,2,Vancouver Canucks,,Boston Bruins,Boston Bruins,Vancouver Canucks,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/8/2021,Dallas Stars,4,Vegas Golden Knights,5,Vegas Golden Knights,,Dallas Stars,Dallas Stars,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/9/2021,Anaheim Ducks,2,Columbus Blue Jackets,1,Anaheim Ducks,@,Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/9/2021,Carolina Hurricanes,2,Calgary Flames,1,Carolina Hurricanes,@,Calgary Flames,Calgary Flames,Carolina Hurricanes,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/9/2021,Boston Bruins,3,Edmonton Oilers,2,Boston Bruins,@,Edmonton Oilers,Boston Bruins,Edmonton Oilers,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/9/2021,Dallas Stars,0,Los Angeles Kings,4,Los Angeles Kings,,Dallas Stars,Dallas Stars,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/9/2021,Chicago Blackhawks,2,Montreal Canadiens,0,Chicago Blackhawks,@,Montreal Canadiens,Chicago Blackhawks,Montreal Canadiens,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/9/2021,Nashville Predators,4,New York Islanders,3,Nashville Predators,@,New York Islanders,Nashville Predators,New York Islanders,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/9/2021,Winnipeg Jets,3,Seattle Kraken,0,Winnipeg Jets,@,Seattle Kraken,Seattle Kraken,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/9/2021,Minnesota Wild,5,San Jose Sharks,2,Minnesota Wild,@,San Jose Sharks,Minnesota Wild,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/9/2021,Detroit Red Wings,2,St. Louis Blues,6,St. Louis Blues,,Detroit Red Wings,Detroit Red Wings,St. Louis Blues,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/9/2021,Tampa Bay Lightning,5,Toronto Maple Leafs,3,Tampa Bay Lightning,@,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/10/2021,Florida Panthers,3,Arizona Coyotes,1,Florida Panthers,@,Arizona Coyotes,Arizona Coyotes,Florida Panthers,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/10/2021,New York Rangers,2,Buffalo Sabres,1,New York Rangers,@,Buffalo Sabres,Buffalo Sabres,New York Rangers,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/10/2021,Detroit Red Wings,3,Colorado Avalanche,7,Colorado Avalanche,,Detroit Red Wings,Colorado Avalanche,Detroit Red Wings,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/10/2021,Nashville Predators,3,New Jersey Devils,2,Nashville Predators,@,New Jersey Devils,Nashville Predators,New Jersey Devils,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/10/2021,Winnipeg Jets,3,Vancouver Canucks,4,Vancouver Canucks,,Winnipeg Jets,Vancouver Canucks,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/10/2021,Philadelphia Flyers,4,Vegas Golden Knights,3,Philadelphia Flyers,@,Vegas Golden Knights,Philadelphia Flyers,Vegas Golden Knights,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/10/2021,Pittsburgh Penguins,4,Washington Capitals,2,Pittsburgh Penguins,@,Washington Capitals,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/11/2021,Philadelphia Flyers,5,Arizona Coyotes,3,Philadelphia Flyers,@,Arizona Coyotes,Arizona Coyotes,Philadelphia Flyers,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/11/2021,Washington Capitals,3,Buffalo Sabres,2,Washington Capitals,@,Buffalo Sabres,Buffalo Sabres,Washington Capitals,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/11/2021,Boston Bruins,4,Calgary Flames,2,Boston Bruins,@,Calgary Flames,Boston Bruins,Calgary Flames,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/11/2021,Carolina Hurricanes,3,Edmonton Oilers,1,Carolina Hurricanes,@,Edmonton Oilers,Carolina Hurricanes,Edmonton Oilers,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/11/2021,Minnesota Wild,1,Los Angeles Kings,2,Los Angeles Kings,,Minnesota Wild,Los Angeles Kings,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/11/2021,New Jersey Devils,2,New York Islanders,4,New York Islanders,,New Jersey Devils,New Jersey Devils,New York Islanders,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/11/2021,Tampa Bay Lightning,0,Ottawa Senators,4,Ottawa Senators,,Tampa Bay Lightning,Ottawa Senators,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/11/2021,Anaheim Ducks,0,Pittsburgh Penguins,1,Pittsburgh Penguins,,Anaheim Ducks,Anaheim Ducks,Pittsburgh Penguins,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/11/2021,Columbus Blue Jackets,5,Seattle Kraken,4,Columbus Blue Jackets,@,Seattle Kraken,Columbus Blue Jackets,Seattle Kraken,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/11/2021,Dallas Stars,1,San Jose Sharks,2,San Jose Sharks,,Dallas Stars,Dallas Stars,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/11/2021,Montreal Canadiens,1,St. Louis Blues,4,St. Louis Blues,,Montreal Canadiens,Montreal Canadiens,St. Louis Blues,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/11/2021,Chicago Blackhawks,4,Toronto Maple Leafs,5,Toronto Maple Leafs,,Chicago Blackhawks,Chicago Blackhawks,Toronto Maple Leafs,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/12/2021,Florida Panthers,2,Colorado Avalanche,3,Colorado Avalanche,,Florida Panthers,Colorado Avalanche,Florida Panthers,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/12/2021,Nashville Predators,1,New York Rangers,0,Nashville Predators,@,New York Rangers,Nashville Predators,New York Rangers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
12/12/2021,Anaheim Ducks,3,St. Louis Blues,2,Anaheim Ducks,@,St. Louis Blues,Anaheim Ducks,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/12/2021,Carolina Hurricanes,1,Vancouver Canucks,2,Vancouver Canucks,,Carolina Hurricanes,Carolina Hurricanes,Vancouver Canucks,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/12/2021,Minnesota Wild,4,Vegas Golden Knights,6,Vegas Golden Knights,,Minnesota Wild,Minnesota Wild,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/14/2021,Vegas Golden Knights,4,Boston Bruins,1,Vegas Golden Knights,@,Boston Bruins,Boston Bruins,Vegas Golden Knights,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/14/2021,New York Rangers,2,Colorado Avalanche,4,Colorado Avalanche,,New York Rangers,Colorado Avalanche,New York Rangers,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/14/2021,St. Louis Blues,4,Dallas Stars,1,St. Louis Blues,@,Dallas Stars,Dallas Stars,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/14/2021,New York Islanders,1,Detroit Red Wings,2,Detroit Red Wings,,New York Islanders,Detroit Red Wings,New York Islanders,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/14/2021,Toronto Maple Leafs,5,Edmonton Oilers,1,Toronto Maple Leafs,@,Edmonton Oilers,Edmonton Oilers,Toronto Maple Leafs,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
12/14/2021,Ottawa Senators,8,Florida Panthers,2,Ottawa Senators,@,Florida Panthers,Florida Panthers,Ottawa Senators,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/14/2021,New Jersey Devils,1,Philadelphia Flyers,6,Philadelphia Flyers,,New Jersey Devils,New Jersey Devils,Philadelphia Flyers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
12/14/2021,Montreal Canadiens,2,Pittsburgh Penguins,5,Pittsburgh Penguins,,Montreal Canadiens,Montreal Canadiens,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/14/2021,Seattle Kraken,3,San Jose Sharks,1,Seattle Kraken,@,San Jose Sharks,San Jose Sharks,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/14/2021,Los Angeles Kings,2,Tampa Bay Lightning,3,Tampa Bay Lightning,,Los Angeles Kings,Los Angeles Kings,Tampa Bay Lightning,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
12/14/2021,Columbus Blue Jackets,3,Vancouver Canucks,4,Vancouver Canucks,,Columbus Blue Jackets,Columbus Blue Jackets,Vancouver Canucks,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/14/2021,Buffalo Sabres,4,Winnipeg Jets,2,Buffalo Sabres,@,Winnipeg Jets,Buffalo Sabres,Winnipeg Jets,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/15/2021,Seattle Kraken,1,Anaheim Ducks,4,Anaheim Ducks,,Seattle Kraken,Anaheim Ducks,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/15/2021,New York Rangers,3,Arizona Coyotes,2,New York Rangers,@,Arizona Coyotes,Arizona Coyotes,New York Rangers,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/15/2021,Washington Capitals,4,Chicago Blackhawks,5,Chicago Blackhawks,,Washington Capitals,Chicago Blackhawks,Washington Capitals,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
12/16/2021,Detroit Red Wings,3,Carolina Hurricanes,5,Carolina Hurricanes,,Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,Eastern,Metropolitan,Eastern,Atlantic,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
12/16/2021,Columbus Blue Jackets,2,Edmonton Oilers,5,Edmonton Oilers,,Columbus Blue Jackets,Columbus Blue Jackets,Edmonton Oilers,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
12/16/2021,Los Angeles Kings,4,Florida Panthers,1,Los Angeles Kings,@,Florida Panthers,Florida Panthers,Los Angeles Kings,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
12/16/2021,Buffalo Sabres,3,Minnesota Wild,2,Buffalo Sabres,@,Minnesota Wild,Buffalo Sabres,Minnesota Wild,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
12/16/2021,Philadelphia Flyers,2,Montreal Canadiens,3,Montreal Canadiens,,Philadelphia Flyers,Montreal Canadiens,Philadelphia Flyers,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/16/2021,Vegas Golden Knights,5,New Jersey Devils,3,Vegas Golden Knights,@,New Jersey Devils,New Jersey Devils,Vegas Golden Knights,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
12/16/2021,Colorado Avalanche,2,Nashville Predators,5,Nashville Predators,,Colorado Avalanche,Colorado Avalanche,Nashville Predators,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/16/2021,Boston Bruins,1,New York Islanders,3,New York Islanders,,Boston Bruins,Boston Bruins,New York Islanders,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
12/16/2021,Vancouver Canucks,5,San Jose Sharks,2,Vancouver Canucks,@,San Jose Sharks,San Jose Sharks,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/16/2021,Ottawa Senators,1,Tampa Bay Lightning,2,Tampa Bay Lightning,,Ottawa Senators,Ottawa Senators,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
12/17/2021,Arizona Coyotes,6,Anaheim Ducks,5,Arizona Coyotes,@,Anaheim Ducks,Anaheim Ducks,Arizona Coyotes,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/17/2021,Nashville Predators,3,Chicago Blackhawks,2,Nashville Predators,@,Chicago Blackhawks,Chicago Blackhawks,Nashville Predators,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
12/17/2021,Vegas Golden Knights,3,New York Rangers,2,Vegas Golden Knights,@,New York Rangers,New York Rangers,Vegas Golden Knights,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
12/17/2021,Buffalo Sabres,2,Pittsburgh Penguins,3,Pittsburgh Penguins,,Buffalo Sabres,Buffalo Sabres,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
